1	;Fullwidth Solidus
0x3d	0x0015	;Negative Acknowledge
0x3e	0x009e	;Control
0x3f	0x001a	;Substitute
0x40	0x0020	;Space
0x41	0x00a0	;No-Break Space
0x42	0x00e2	;Latin Small Letter A With Circumflex
0x43	0x00e4	;Latin Small Letter A With Diaeresis
0x44	0x00e0	;Latin Small Letter A With Grave
0x45	0x00e1	;Latin Small Letter A With Acute
0x46	0x00e3	;Latin Small Letter A With Tilde
0x47	0x00e5	;Latin Small Letter A With Ring Above
0x48	0x00e7	;Latin Small Letter C With Cedilla
0x49	0x00f1	;Latin Small Letter N With Tilde
0x4a	0x005b	;Left Square Bracket
0x4b	0x002e	;Full Stop
0x4c	0x003c	;Less-Than Sign
0x4d	0x0028	;Left Parenthesis
0x4e	0x002b	;Plus Sign
0x4f	0x0021	;Exclamation Mark
0x50	0x0026	;Ampersand
0x51	0x00e9	;Latin Small Letter E With Acute
0x52	0x00ea	;Latin Small Letter E With Circumflex
0x53	0x00eb	;Latin Small Letter E With Diaeresis
0x54	0x00e8	;Latin Small Letter E With Grave
0x55	0x00ed	;Latin Small Letter I With Acute
0x56	0x00ee	;Latin Small Letter I With Circumflex
0x57	0x00ef	;Latin Small Letter I With Diaeresis
0x58	0x00ec	;Latin Small Letter I With Grave
0x59	0x00df	;Latin Small Letter Sharp S (German)
0x5a	0x005d	;Right Square Bracket
0x5b	0x0024	;Dollar Sign
0x5c	0x002a	;Asterisk
0x5d	0x0029	;Right Parenthesis
0x5e	0x003b	;Semicolon
0x5f	0x005e	;Circumflex Accent
0x60	0x002d	;Hyphen-Minus
0x61	0x002f	;Solidus
0x62	0x00c2	;Latin Capital Letter A With Circumflex
0x63	0x00c4	;Latin Capital Letter A With Diaeresis
0x64	0x00c0	;Latin Capital Letter A With Grave
0x65	0x00c1	;Latin Capital Letter A With Acute
0x66	0x00c3	;Latin Capital Letter A With Tilde
0x67	0x00c5	;Latin Capital Letter A With Ring Above
0x68	0x00c7	;Latin Capital Letter C With Cedilla
0x69	0x00d1	;Latin Capital Letter N With Tilde
0x6a	0x00a6	;Broken Bar
0x6b	0x002c	;Comma
0x6c	0x0025	;Percent Sign
0x6d	0x005f	;Low Line
0x6e	0x003e	;Greater-Than Sign
0x6f	0x003f	;Question Mark
0x70	0x00f8	;Latin Small Letter O With Stroke
0x71	0x00c9	;Latin Capital Letter E With Acute
0x72	0x00ca	;Latin Capital Letter E With Circumflex
0x73	0x00cb	;Latin Capital Letter E With Diaeresis
0x74	0x00c8	;Latin Capital Letter E With Grave
0x75	0x00cd	;Latin Capital Letter I With Acute
0x76	0x00ce	;Latin Capital Letter I With Circumflex
0x77	0x00cf	;Latin Capital Letter I With Diaeresis
0x78	0x00cc	;Latin Capital Letter I With Grave
0x79	0x0060	;Grave Accent
0x7a	0x003a	;Colon
0x7b	0x0023	;Number Sign
0x7c	0x0040	;Commercial At
0x7d	0x0027	;Apostrophe
0x7e	0x003d	;Equals Sign
0x7f	0x0022	;Quotation Mark
0x80	0x00d8	;Latin Capital Letter O With Stroke
0x81	0x0061	;Latin Small Letter A
0x82	0x0062	;Latin Small Letter B
0x83	0x0063	;Latin Small Letter C
0x84	0x0064	;Latin Small Letter D
0x85	0x0065	;Latin Small Letter E
0x86	0x0066	;Latin Small Letter F
0x87	0x0067	;Latin Small Letter G
0x88	0x0068	;Latin Small Letter H
0x89	0x0069	;Latin Small Letter I
0x8a	0x00ab	;Left-Pointing Double Angle Quotation Mark
0x8b	0x00bb	;Right-Pointing Double Angle Quotation Mark
0x8c	0x00f0	;Latin Small Letter Eth (Icelandic)
0x8d	0x00fd	;Latin Small Letter Y With Acute
0x8e	0x00fe	;Latin Small Letter Thorn (Icelandic)
0x8f	0x00b1	;Plus-Minus Sign
0x90	0x00b0	;Degree Sign
0x91	0x006a	;Latin Small Letter J
0x92	0x006b	;Latin Small Letter K
0x93	0x006c	;Latin Small Letter L
0x94	0x006d	;Latin Small Letter M
0x95	0x006e	;Latin Small Letter N
0x96	0x006f	;Latin Small Letter O
0x97	0x0070	;Latin Small Letter P
0x98	0x0071	;Latin Small Letter Q
0x99	0x0072	;Latin Small Letter R
0x9a	0x00aa	;Feminine Ordinal Indicator
0x9b	0x00ba	;Masculine Ordinal Indicator
0x9c	0x00e6	;Latin Small Ligature Ae
0x9d	0x00b8	;Cedilla
0x9e	0x00c6	;Latin Capital Ligature Ae
0x9f	0x20ac	;Euro Sign
0xa0	0x00b5	;Micro Sign
0xa1	0x007e	;Tilde
0xa2	0x0073	;Latin Small Letter S
0xa3	0x0074	;Latin Small Letter T
0xa4	0x0075	;Latin Small Letter U
0xa5	0x0076	;Latin Small Letter V
0xa6	0x0077	;Latin Small Letter W
0xa7	0x0078	;Latin Small Letter X
0xa8	0x0079	;Latin Small Letter Y
0xa9	0x007a	;Latin Small Letter Z
0xaa	0x00a1	;Inverted Exclamation Mark
0xab	0x00bf	;Inverted Question Mark
0xac	0x00d0	;Latin Capital Letter Eth (Icelandic)
0xad	0x00dd	;Latin Capital Letter Y With Acute
0xae	0x00de	;Latin Capital Letter Thorn (Icelandic)
0xaf	0x00ae	;Registered Sign
0xb0	0x00a2	;Cent Sign
0xb1	0x00a3	;Pound Sign
0xb2	0x00a5	;Yen Sign
0xb3	0x00b7	;Middle Dot
0xb4	0x00a9	;Copyright Sign
0xb5	0x00a7	;Section Sign
0xb6	0x00b6	;Pilcrow Sign
0xb7	0x00bc	;Vulgar Fraction One Quarter
0xb8	0x00bd	;Vulgar Fraction One Half
0xb9	0x00be	;Vulgar Fraction Three Quarters
0xba	0x00ac	;Not Sign
0xbb	0x007c	;Vertical Line
0xbc	0x00af	;Macron
0xbd	0x00a8	;Diaeresis
0xbe	0x00b4	;Acute Accent
0xbf	0x00d7	;Multiplication Sign
0xc0	0x007b	;Left Curly Bracket
0xc1	0x0041	;Latin Capital Letter A
0xc2	0x0042	;Latin Capital Letter B
0xc3	0x0043	;Latin Capital Letter C
0xc4	0x0044	;Latin Capital Letter D
0xc5	0x0045	;Latin Capital Letter E
0xc6	0x0046	;Latin Capital Letter F
0xc7	0x0047	;Latin Capital Letter G
0xc8	0x0048	;Latin Capital Letter H
0xc9	0x0049	;Latin Capital Letter I
0xca	0x00ad	;Soft Hyphen
0xcb	0x00f4	;Latin Small Letter O With Circumflex
0xcc	0x00f6	;Latin Small Letter O With Diaeresis
0xcd	0x00f2	;Latin Small Letter O With Grave
0xce	0x00f3	;Latin Small Letter O With Acute
0xcf	0x00f5	;Latin Small Letter O With Tilde
0xd0	0x007d	;Right Curly Bracket
0xd1	0x004a	;Latin Capital Letter J
0xd2	0x004b	;Latin Capital Letter K
0xd3	0x004c	;Latin Capital Letter L
0xd4	0x004d	;Latin Capital Letter M
0xd5	0x004e	;Latin Capital Letter N
0xd6	0x004f	;Latin Capital Letter O
0xd7	0x0050	;Latin Capital Letter P
0xd8	0x0051	;Latin Capital Letter Q
0xd9	0x0052	;Latin Capital Letter R
0xda	0x00b9	;Superscript One
0xdb	0x00fb	;Latin Small Letter U With Circumflex
0xdc	0x00fc	;Latin Small Letter U With Diaeresis
0xdd	0x00f9	;Latin Small Letter U With Grave
0xde	0x00fa	;Latin Small Letter U With Acute
0xdf	0x00ff	;Latin Small Letter Y With Diaeresis
0xe0	0x005c	;Reverse Solidus
0xe1	0x00f7	;Division Sign
0xe2	0x0053	;Latin Capital Letter S
0xe3	0x0054	;Latin Capital Letter T
0xe4	0x0055	;Latin Capital Letter U
0xe5	0x0056	;Latin Capital Letter V
0xe6	0x0057	;Latin Capital Letter W
0xe7	0x0058	;Latin Capital Letter X
0xe8	0x0059	;Latin Capital Letter Y
0xe9	0x005a	;Latin Capital Letter Z
0xea	0x00b2	;Superscript Two
0xeb	0x00d4	;Latin Capital Letter O With Circumflex
0xec	0x00d6	;Latin Capital Letter O With Diaeresis
0xed	0x00d2	;Latin Capital Letter O With Grave
0xee	0x00d3	;Latin Capital Letter O With Acute
0xef	0x00d5	;Latin Capital Letter O With Tilde
0xf0	0x0030	;Digit Zero
0xf1	0x0031	;Digit One
0xf2	0x0032	;Digit Two
0xf3	0x0033	;Digit Three
0xf4	0x0034	;Digit Four
0xf5	0x0035	;Digit Five
0xf6	0x0036	;Digit Six
0xf7	0x0037	;Digit Seven
0xf8	0x0038	;Digit Eight
0xf9	0x0039	;Digit Nine
0xfa	0x00b3	;Superscript Three
0xfb	0x00db	;Latin Capital Letter U With Circumflex
0xfc	0x00dc	;Latin Capital Letter U With Diaeresis
0xfd	0x00d9	;Latin Capital Letter U With Grave
0xfe	0x00da	;Latin Capital Letter U With Acute
0xff	0x009f	;Control


WCTABLE 352

0x0000	0x00	;Null
0x0001	0x01	;Start Of Heading
0x0002	0x02	;Start Of Text
0x0003	0x03	;End Of Text
0x0004	0x37	;End Of Transmission
0x0005	0x2d	;Enquiry
0x0006	0x2e	;Acknowledge
0x0007	0x2f	;Bell
0x0008	0x16	;Backspace
0x0009	0x05	;Horizontal Tabulation
0x000a	0x25	;Line Feed
0x000b	0x0b	;Vertical Tabulation
0x000c	0x0c	;Form Feed
0x000d	0x0d	;Carriage Return
0x000e	0x0e	;Shift Out
0x000f	0x0f	;Shift In
0x0010	0x10	;Data Link Escape
0x0011	0x11	;Device Control One
0x0012	0x12	;Device Control Two
0x0013	0x13	;Device Control Three
0x0014	0x3c	;Device Control Four
0x0015	0x3d	;Negative Acknowledge
0x0016	0x32	;Synchronous Idle
0x0017	0x26	;End Of Transmission Block
0x0018	0x18	;Cancel
0x0019	0x19	;End Of Medium
0x001a	0x3f	;Substitute
0x001b	0x27	;Escape
0x001c	0x1c	;File Separator
0x001d	0x1d	;Group Separator
0x001e	0x1e	;Record Separator
0x001f	0x1f	;Unit Separator
0x0020	0x40	;Space
0x0021	0x4f	;Exclamation Mark
0x0022	0x7f	;Quotation Mark
0x0023	0x7b	;Number Sign
0x0024	0x5b	;Dollar Sign
0x0025	0x6c	;Percent Sign
0x0026	0x50	;Ampersand
0x0027	0x7d	;Apostrophe
0x0028	0x4d	;Left Parenthesis
0x0029	0x5d	;Right Parenthesis
0x002a	0x5c	;Asterisk
0x002b	0x4e	;Plus Sign
0x002c	0x6b	;Comma
0x002d	0x60	;Hyphen-Minus
0x002e	0x4b	;Full Stop
0x002f	0x61	;Solidus
0x0030	0xf0	;Digit Zero
0x0031	0xf1	;Digit One
0x0032	0xf2	;Digit Two
0x0033	0xf3	;Digit Three
0x0034	0xf4	;Digit Four
0x0035	0xf5	;Digit Five
0x0036	0xf6	;Digit Six
0x0037	0xf7	;Digit Seven
0x0038	0xf8	;Digit Eight
0x0039	0xf9	;Digit Nine
0x003a	0x7a	;Colon
0x003b	0x5e	;Semicolon
0x003c	0x4c	;Less-Than Sign
0x003d	0x7e	;Equals Sign
0x003e	0x6e	;Greater-Than Sign
0x003f	0x6f	;Question Mark
0x0040	0x7c	;Commercial At
0x0041	0xc1	;Latin Capital Letter A
0x0042	0xc2	;Latin Capital Letter B
0x0043	0xc3	;Latin Capital Letter C
0x0044	0xc4	;Latin Capital Letter D
0x0045	0xc5	;Latin Capital Letter E
0x0046	0xc6	;Latin Capital Letter F
0x0047	0xc7	;Latin Capital Letter G
0x0048	0xc8	;Latin Capital Letter H
0x0049	0xc9	;Latin Capital Letter I
0x004a	0xd1	;Latin Capital Letter J
0x004b	0xd2	;Latin Capital Letter K
0x004c	0xd3	;Latin Capital Letter L
0x004d	0xd4	;Latin Capital Letter M
0x004e	0xd5	;Latin Capital Letter N
0x004f	0xd6	;Latin Capital Letter O
0x0050	0xd7	;Latin Capital Letter P
0x0051	0xd8	;Latin Capital Letter Q
0x0052	0xd9	;Latin Capital Letter R
0x0053	0xe2	;Latin Capital Letter S
0x0054	0xe3	;Latin Capital Letter T
0x0055	0xe4	;Latin Capital Letter U
0x0056	0xe5	;Latin Capital Letter V
0x0057	0xe6	;Latin Capital Letter W
0x0058	0xe7	;Latin Capital Letter X
0x0059	0xe8	;Latin Capital Letter Y
0x005a	0xe9	;Latin Capital Letter Z
0x005b	0x4a	;Left Square Bracket
0x005c	0xe0	;Reverse Solidus
0x005d	0x5a	;Right Square Bracket
0x005e	0x5f	;Circumflex Accent
0x005f	0x6d	;Low Line
0x0060	0x79	;Grave Accent
0x0061	0x81	;Latin Small Letter A
0x0062	0x82	;Latin Small Letter B
0x0063	0x83	;Latin Small Letter C
0x0064	0x84	;Latin Small Letter D
0x0065	0x85	;Latin Small Letter E
0x0066	0x86	;Latin Small Letter F
0x0067	0x87	;Latin Small Letter G
0x0068	0x88	;Latin Small Letter H
0x0069	0x89	;Latin Small Letter I
0x006a	0x91	;Latin Small Letter J
0x006b	0x92	;Latin Small Letter K
0x006c	0x93	;Latin Small Letter L
0x006d	0x94	;Latin Small Letter M
0x006e	0x95	;Latin Small Letter N
0x006f	0x96	;Latin Small Letter O
0x0070	0x97	;Latin Small Letter P
0x0071	0x98	;Latin Small Letter Q
0x0072	0x99	;Latin Small Letter R
0x0073	0xa2	;Latin Small Letter S
0x0074	0xa3	;Latin Small Letter T
0x0075	0xa4	;Latin Small Letter U
0x0076	0xa5	;Latin Small Letter V
0x0077	0xa6	;Latin Small Letter W
0x0078	0xa7	;Latin Small Letter X
0x0079	0xa8	;Latin Small Letter Y
0x007a	0xa9	;Latin Small Letter Z
0x007b	0xc0	;Left Curly Bracket
0x007c	0xbb	;Vertical Line
0x007d	0xd0	;Right Curly Bracket
0x007e	0xa1	;Tilde
0x007f	0x07	;Delete
0x0080	0x20	;Control
0x0081	0x21	;Control
0x0082	0x22	;Control
0x0083	0x23	;Control
0x0084	0x24	;Control
0x0085	0x15	;Control
0x0086	0x06	;Control
0x0087	0x17	;Control
0x0088	0x28	;Control
0x0089	0x29	;Control
0x008a	0x2a	;Control
0x008b	0x2b	;Control
0x008c	0x2c	;Control
0x008d	0x09	;Control
0x008e	0x0a	;Control
0x008f	0x1b	;Control
0x0090	0x30	;Control
0x0091	0x31	;Control
0x0092	0x1a	;Control
0x0093	0x33	;Control
0x0094	0x34	;Control
0x0095	0x35	;Control
0x0096	0x36	;Control
0x0097	0x08	;Control
0x0098	0x38	;Control
0x0099	0x39	;Control
0x009a	0x3a	;Control
0x009b	0x3b	;Control
0x009c	0x04	;Control
0x009d	0x14	;Control
0x009e	0x3e	;Control
0x009f	0xff	;Control
0x00a0	0x41	;No-Break Space
0x00a1	0xaa	;Inverted Exclamation Mark
0x00a2	0xb0	;Cent Sign
0x00a3	0xb1	;Pound Sign
0x00a5	0xb2	;Yen Sign
0x00a6	0x6a	;Broken Bar
0x00a7	0xb5	;Section Sign
0x00a8	0xbd	;Diaeresis
0x00a9	0xb4	;Copyright Sign
0x00aa	0x9a	;Feminine Ordinal Indicator
0x00ab	0x8a	;Left-Pointing Double Angle Quotation Mark
0x00ac	0xba	;Not Sign
0x00ad	0xca	;Soft Hyphen
0x00ae	0xaf	;Registered Sign
0x00af	0xbc	;Macron
0x00b0	0x90	;Degree Sign
0x00b1	0x8f	;Plus-Minus Sign
0x00b2	0xea	;Superscript Two
0x00b3	0xfa	;Superscript Three
0x00b4	0xbe	;Acute Accent
0x00b5	0xa0	;Micro Sign
0x00b6	0xb6	;Pilcrow Sign
0x00b7	0xb3	;Middle Dot
0x00b8	0x9d	;Cedilla
0x00b9	0xda	;Superscript One
0x00ba	0x9b	;Masculine Ordinal Indicator
0x00bb	0x8b	;Right-Pointing Double Angle Quotation Mark
0x00bc	0xb7	;Vulgar Fraction One Quarter
0x00bd	0xb8	;Vulgar Fraction One Half
0x00be	0xb9	;Vulgar Fraction Three Quarters
0x00bf	0xab	;Inverted Question Mark
0x00c0	0x64	;Latin Capital Letter A With Grave
0x00c1	0x65	;Latin Capital Letter A With Acute
0x00c2	0x62	;Latin Capital Letter A With Circumflex
0x00c3	0x66	;Latin Capital Letter A With Tilde
0x00c4	0x63	;Latin Capital Letter A With Diaeresis
0x00c5	0x67	;Latin Capital Letter A With Ring Above
0x00c6	0x9e	;Latin Capital Ligature Ae
0x00c7	0x68	;Latin Capital Letter C With Cedilla
0x00c8	0x74	;Latin Capital Letter E With Grave
0x00c9	0x71	;Latin Capital Letter E With Acute
0x00ca	0x72	;Latin Capital Letter E With Circumflex
0x00cb	0x73	;Latin Capital Letter E With Diaeresis
0x00cc	0x78	;Latin Capital Letter I With Grave
0x00cd	0x75	;Latin Capital Letter I With Acute
0x00ce	0x76	;Latin Capital Letter I With Circumflex
0x00cf	0x77	;Latin Capital Letter I With Diaeresis
0x00d0	0xac	;Latin Capital Letter Eth (Icelandic)
0x00d1	0x69	;Latin Capital Letter N With Tilde
0x00d2	0xed	;Latin Capital Letter O With Grave
0x00d3	0xee	;Latin Capital Letter O With Acute
0x00d4	0xeb	;Latin Capital Letter O With Circumflex
0x00d5	0xef	;Latin Capital Letter O With Tilde
0x00d6	0xec	;Latin Capital Letter O With Diaeresis
0x00d7	0xbf	;Multiplication Sign
0x00d8	0x80	;Latin Capital Letter O With Stroke
0x00d9	0xfd	;Latin Capital Letter U With Grave
0x00da	0xfe	;Latin Capital Letter U With Acute
0x00db	0xfb	;Latin Capital Letter U With Circumflex
0x00dc	0xfc	;Latin Capital Letter U With Diaeresis
0x00dd	0xad	;Latin Capital Letter Y With Acute
0x00de	0xae	;Latin Capital Letter Thorn (Icelandic)
0x00df	0x59	;Latin Small Letter Sharp S (German)
0x00e0	0x44	;Latin Small Letter A With Grave
0x00e1	0x45	;Latin Small Letter A With Acute
0x00e2	0x42	;Latin Small Letter A With Circumflex
0x00e3	0x46	;Latin Small Letter A With Tilde
0x00e4	0x43	;Latin Small Letter A With Diaeresis
0x00e5	0x47	;Latin Small Letter A With Ring Above
0x00e6	0x9c	;Latin Small Ligature Ae
0x00e7	0x48	;Latin Small Letter C With Cedilla
0x00e8	0x54	;Latin Small Letter E With Grave
0x00e9	0x51	;Latin Small Letter E With Acute
0x00ea	0x52	;Latin Small Letter E With Circumflex
0x00eb	0x53	;Latin Small Letter E With Diaeresis
0x00ec	0x58	;Latin Small Letter I With Grave
0x00ed	0x55	;Latin Small Letter I With Acute
0x00ee	0x56	;Latin Small Letter I With Circumflex
0x00ef	0x57	;Latin Small Letter I With Diaeresis
0x00f0	0x8c	;Latin Small Letter Eth (Icelandic)
0x00f1	0x49	;Latin Small Letter N With Tilde
0x00f2	0xcd	;Latin Small Letter O With Grave
0x00f3	0xce	;Latin Small Letter O With Acute
0x00f4	0xcb	;Latin Small Letter O With Circumflex
0x00f5	0xcf	;Latin Small Letter O With Tilde
0x00f6	0xcc	;Latin Small Letter O With Diaeresis
0x00f7	0xe1	;Division Sign
0x00f8	0x70	;Latin Small Letter O With Stroke
0x00f9	0xdd	;Latin Small Letter U With Grave
0x00fa	0xde	;Latin Small Letter U With Acute
0x00fb	0xdb	;Latin Small Letter U With Circumflex
0x00fc	0xdc	;Latin Small Letter U With Diaeresis
0x00fd	0x8d	;Latin Small Letter Y With Acute
0x00fe	0x8e	;Latin Small Letter Thorn (Icelandic)
0x00ff	0xdf	;Latin Small Letter Y With Diaeresis
0x0178	0xe8	;Y Diaeresis -> Y(#25995)
0x203e	0xbc	;Overline
0x20ac	0x9f	;Euro Sign
0xff01	0x4f	;Fullwidth Exclamation Mark
0xff02	0x7f	;Fullwidth Quotation Mark
0xff03	0x7b	;Fullwidth Number Sign
0xff04	0x5b	;Fullwidth Dollar Sign
0xff05	0x6c	;Fullwidth Percent Sign
0xff06	0x50	;Fullwidth Ampersand
0xff07	0x7d	;Fullwidth Apostrophe
0xff08	0x4d	;Fullwidth Left Parenthesis
0xff09	0x5d	;Fullwidth Right Parenthesis
0xff0a	0x5c	;Fullwidth Asterisk
0xff0b	0x4e	;Fullwidth Plus Sign
0xff0c	0x6b	;Fullwidth Comma
0xff0d	0x60	;Fullwidth Hyphen-Minus
0xff0e	0x4b	;Fullwidth Full Stop
0xff0f	0x61	;Fullwidth Solidus
0xff10	0xf0	;Fullwidth Digit Zero
0xff11	0xf1	;Fullwidth Digit One
0xff12	0xf2	;Fullwidth Digit Two
0xff13	0xf3	;Fullwidth Digit Three
0xff14	0xf4	;Fullwidth Digit Four
0xff15	0xf5	;Fullwidth Digit Five
0xff16	0xf6	;Fullwidth Digit Six
0xff17	0xf7	;Fullwidth Digit Seven
0xff18	0xf8	;Fullwidth Digit Eight
0xff19	0xf9	;Fullwidth Digit Nine
0xff1a	0x7a	;Fullwidth Colon
0xff1b	0x5e	;Fullwidth Semicolon
0xff1c	0x4c	;Fullwidth Less-Than Sign
0xff1d	0x7e	;Fullwidth Equals Sign
0xff1e	0x6e	;Fullwidth Greater-Than Sign
0xff1f	0x6f	;Fullwidth Question Mark
0xff20	0x7c	;Fullwidth Commercial At
0xff21	0xc1	;Fullwidth Latin Capital Letter A
0xff22	0xc2	;Fullwidth Latin Capital Letter B
0xff23	0xc3	;Fullwidth Latin Capital Letter C
0xff24	0xc4	;Fullwidth Latin Capital Letter D
0xff25	0xc5	;Fullwidth Latin Capital Letter E
0xff26	0xc6	;Fullwidth Latin Capital Letter F
0xff27	0xc7	;Fullwidth Latin Capital Letter G
0xff28	0xc8	;Fullwidth Latin Capital Letter H
0xff29	0xc9	;Fullwidth Latin Capital Letter I
0xff2a	0xd1	;Fullwidth Latin Capital Letter J
0xff2b	0xd2	;Fullwidth Latin Capital Letter K
0xff2c	0xd3	;Fullwidth Latin Capital Letter L
